## iso-639.tab
##
## Copyright (C) 2004 Alastair McKinstry   <mckinstry@computer.org> 
## Released under the GNU License; see file COPYING for details
##
## Last update: 2004-03-29
##
## This file gives a list of all languages in the ISO-639
## standard, and is used to provide translations (via gettext)
##
## Status: ISO 639-2:1998 + additions and changes until 2003-03-05
## Source: http://lcweb.loc.gov/standards/iso639-2/englangn.html
##
## Columns:
##   iso-639-2 terminology code
##   iso-639-2 bibliography code
##   iso-639-1 code (XX if none exists)
##   Name (English)
##
## Notes to translators:
## Please translate Bøkmal using a-ring (U+00E5)
## Please translate Proveçal using c-cedilla (U+00E7)
##
aar	aar	aa	Afar
abk	abk	ab	Abkhazian
afr	afr	af	Afrikaans
aka	aka	ak	Akan
akk	akk	ak	Akkadian
alb	sqi	sq	Albanian
amh	amh	am	Amharic
ara	ara	ar	Arabic
arg	arg	an	Aragonese
arm	hye	hy	Armenian
asm	asm	as	Assamese
ava	ava	av	Avaric
ave	ave	ae	Avestan
aym	aym	ay	Aymara
aze	aze	az	Azerbaijani
bak	bak	ba	Bashkir
bam	bam	bm	Bambara
baq	eus	eu	Basque
bel	bel	be	Belarusian
ben	ben	bn	Bengali
bih	bih	bh	Bihari
bis	bis	bi	Bislama
bos	bos	bs	Bosnian
bre	bre	br	Breton
bul	bul	bg	Bulgarian
bur	mya	my	Burmese
cat	cat	ca	Catalan
cha	cha	ch	Chamorro
che	che	ce	Chechen
chi	zho	zh	Chinese
chv	chv	cv	Chuvash
cor	cor	kw	Cornish
cos	cos	co	Corsican
cre	cre	cr	Cree
cze	ces	cs	Czech
dan	dan	da	Danish
div	div	dv	Divehi
dut	nld	nl	Dutch
dzo	dzo	dz	Dzongkha
eng	eng	en	English
epo	epo	eo	Esperanto
est	est	et	Estonian
ewe	ewe	ee	Ewe
fao	fao	fo	Faroese
fij	fij	fj	Fijian
fin	fin	fi	Finnish
fre	fra	fr	French
fry	fry	fy	Frisian
ful	ful	ff	Fulah
gaa	gaa	ga	Ga
geo	kat	ka	Georgian
ger	deu	de	German
gla	gla	gd	Gaelic
gle	gle	ga	Irish
glg	glg	gl	Gallegan
glv	glv	gv	Manx
gre	ell	el	Greek
grn	grn	gn	Guarani
guj	guj	gu	Gujarati
hat	hat	ht	Haitian
hau	hau	ha	Hausa
heb	heb	he	Hebrew
her	her	hz	Herero
hin	hin	hi	Hindi
hmo	hmo	ho	Hiri
hun	hun	hu	Hungarian
ibo	ibo	ig	Igbo
ice	isl	is	Icelandic
ido	ido	io	Ido
iii	iii	ii	Sichuan Yi
iku	iku	iu	Inuktitut
ile	ile	ie	Interlingue
ina	ina	ia	Interlingua
ind	ind	id	Indonesian
ipk	ipk	ik	Inupiaq
ita	ita	it	Italian
jav	jav	jv	Javanese
jpn	jpn	ja	Japanese
kal	kal	kl	Greenlandic
kan	kan	kn	Kannada
kas	kas	ks	Kashmiri
kau	kau	kr	Kanuri
kaz	kaz	kk	Kazakh
khm	khm	km	Khmer
kik	kik	ki	Kikuyu
kin	kin	rw	Kinyarwanda
kir	kir	ky	Kirghiz
kom	kom	kv	Komi
kon	kon	kg	Kongo
kor	kor	ko	Korean
kua	kua	kj	Kuanyama
kur	kur	ku	Kurdish
lao	lao	lo	Lao
lat	lat	la	Latin
lav	lav	lv	Latvian
lim	lim	li	Limburgian
lin	lin	ln	Lingala
lit	lit	lt	Lithuanian
ltz	ltz	lb	Luxembourgish
lub	lub	lu	Luba-Katanga
lug	lug	lg	Ganda
mac	mkd	mk	Macedonian
mah	mah	mh	Marshallese
mal	mal	ml	Malayalam
mao	mri	mi	Maori
mar	mar	mr	Marathi
may	msa	ms	Malay
mlg	mlg	mg	Malagasy
mlt	mlt	mt	Maltese
mol	mol	mo	Moldavian
mon	mon	mn	Mongolian
nau	nau	na	Nauru
nav	nav	nv	Navaho
nbl	nbl	nr	Ndebele
nde	nde	nd	Ndebele
ndo	ndo	ng	Ndonga
nep	nep	ne	Nepali
nno	nno	nn	Norwegian
nob	nob	nb	Norwegian
nor	nor	no	Norwegian
nya	nya	ny	Chewa
oci	oci	oc	Occitan
oji	oji	oj	Ojibwa
ori	ori	or	Oriya
orm	orm	om	Oromo
oss	oss	os	Ossetian
pan	pan	pa	Panjabi
per	fas	fa	Persian
pli	pli	pi	Pali
pol	pol	pl	Polish
por	por	pt	Portuguese
pus	pus	ps	Pushto
que	que	qu	Quechua
roh	roh	rm	Raeto-Romance
rum	ron	ro	Romanian
run	run	rn	Rundi
rus	rus	ru	Russian
sag	sag	sg	Sango
san	san	sa	Sanskrit
scc	srp	sr	Serbian
scr	hrv	hr	Croatian
sin	sin	si	Sinhalese
slo	slk	sk	Slovak
slv	slv	sl	Slovenian
sme	sme	se	Northern Sami
smo	smo	sm	Samoan
sna	sna	sn	Shona
snd	snd	sd	Sindhi
som	som	so	Somali
sot	sot	st	Sotho
spa	spa	es	Spanish
srd	srd	sc	Sardinian
ssw	ssw	ss	Swati
sun	sun	su	Sundanese
swa	swa	sw	Swahili
swe	swe	sv	Swedish
tah	tah	ty	Tahitian
tam	tam	ta	Tamil
tao	tso	ts	Tsonga
tat	tat	tt	Tatar
tel	tel	te	Telugu
tgk	tgk	tg	Tajik
tgl	tgl	tl	Tagalog
tha	tha	th	Thai
tib	bod	bo	Tibetan
tir	tir	ti	Tigrinya
ton	ton	to	Tonga
tsn	tsn	tn	Tswana
tuk	tuk	tk	Turkmen
tur	tur	tr	Turkish
twi	twi	tw	Twi
uig	uig	ug	Uighur
ukr	ukr	uk	Ukrainian
urd	urd	ur	Urdu
uzb	uzb	uz	Uzbek
ven	ven	ve	Venda
vie	vie	vi	Vietnamese
vol	vol	vo	Volapuk
wel	cym	cy	Welsh
wln	wln	wa	Walloon
wol	wol	wo	Wolof
xho	xho	xh	Xhosa
yid	yid	yi	Yiddish
yor	yor	yo	Yoruba
zha	zha	za	Chuang
zul	zul	zu	Zulu
